 01;;Fichier;;TousFichiersCommande/PROF1791_2018SOFEA.txt
 02;;Boutique;;BLAGNAC
 03;;Ref. facture;;2018 50 1791 27/06/2018
 04;;Total facture;;323,20
 05;;Total produits;;323,2
 06;;Cumul montant;;323.2;;Etat courant = 'lectureLibelle'
 07;CONTROLE MONTANT OK;;323,2;323,2
'001;005;OBAGB001-EVS10-006;CORPS O BAG EVA COMPOUND TEXTURE WAVY;UNICA;6;14,400;86,40;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'002;003;OBAGB002-EVS00-132;CORPS O BAG MINI EVA COMPOUND;UNICA;4;14,400;57,60;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'003;001;OBAGB002-EVS00-158;CORPS O BAG MINI EVA COMPOUND;UNICA;4;14,400;57,60;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'004;002;OBAGB002-EVS00-347;CORPS O BAG MINI EVA COMPOUND;UNICA;4;14,400;57,60;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'005;004;OBAGB002-EVS00-484;CORPS O BAG MINI EVA COMPOUND;UNICA;4;14,400;57,60;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'006;007;OBAGK700-TESI8-008-S;PACKAGING SACHETS EN TISSU TNT;S;2;0,320;0,64;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'007;012;OBAGK700-TESI8-008-S;PACKAGING SACHETS EN TISSU TNT;S;2;0,320;0,64;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'008;008;OBAGK700-TESI8-008-S;PACKAGING SACHETS EN TISSU TNT;S;2;0,320;0,64;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'009;009;OBAGK700-TESI8-008-S;PACKAGING SACHETS EN TISSU TNT;S;2;0,320;0,64;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'010;010;OBAGK700-TESI8-008-S;PACKAGING SACHETS EN TISSU TNT;S;2;0,320;0,64;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'011;011;OBAGK700-TESI8-008-S;PACKAGING SACHETS EN TISSU TNT;S;2;0,320;0,64;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'012;013;OBAGK700-TESI8-008-M;PACKAGING SACHETS EN TISSU TNT;M;4;0,320;1,28;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'013;006;OBAGK700-TESI8-008-M;PACKAGING SACHETS EN TISSU TNT;M;4;0,320;1,28;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'014;420222100-KG;2018 50 1791 27/06/2018;;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'015;630790989-KG;VEND.N.I.ART.41 L.427/93 UE;;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
'016;022-PZ;;PROF1791_2018SOFEA.txt;PROF;27/06/2018;323,20;323,2;2017 RI/OBAG/13487 153974
