XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGB001-EVS00-067; O bag fall 19;6; scocca O bag eva;OBAGB001;EVS00;067;phard;phard;
CodeBarre;OBAGB001-EVS00-076; O bag fall 19;6; scocca O bag eva;OBAGB001;EVS00;076;rosso;red;
CodeBarre;OBAGB001-EVS00-132; O bag fall 19;6; scocca O bag eva;OBAGB001;EVS00;132;biscotto;cookie;
CodeBarre;OBAGB001-EVS00-144; O bag fall 19;6; scocca O bag eva;OBAGB001;EVS00;144;ginestra;broom;
CodeBarre;OBAGB001-EVS00-158; O bag fall 19;6; scocca O bag eva;OBAGB001;EVS00;158;vulcano;volcano;
CodeBarre;OBAGB001-EVS00-614; O bag fall 19;6; scocca O bag eva;OBAGB001;EVS00;614;imperial blu;imperial blue;
CodeBarre;OBAGB001-EVS00-615; O bag fall 19;6; scocca O bag eva;OBAGB001;EVS00;615;military;military;
CodeBarre;OBAGB001-EVS00-389; O bag fall 19;6; scocca O bag eva;OBAGB001;EVS00;389;silver;silver;
CodeBarre;OBAGB001-EVS00-616; O bag fall 19;6; scocca O bag eva;OBAGB001;EVS00;616;ice;ice;
CodeBarre;OBAGB001-EVS00-038; O bag fall 19;7; scocca O bag eva;OBAGB001;EVS00;038;grafite;graphite;
CodeBarre;OBAGB001-EVS00-017; O bag fall 19;7; scocca O bag eva;OBAGB001;EVS00;017;blu navy;blue navy;
CodeBarre;OBAGB001-EVS00-055; O bag fall 19;7; scocca O bag eva;OBAGB001;EVS00;055;nero;black;
CodeBarre;OBAGB001-EVS00-071; O bag fall 19;7; scocca O bag eva;OBAGB001;EVS00;071;roccia;rock;
CodeBarre;OBAGB001-EVS00-078; O bag fall 19;7; scocca O bag eva;OBAGB001;EVS00;078;sabbia;sand;
